Time	Temp	Humid	DewPt	Press	WindSp	WindDr	Sun	Rain	Start	MxWSpd
00:00	8.4	94	7.5	1024	0.0	W	0.00	0.00	00:00	2
00:30	8.0	94	7.1	1024	0.6	W	0.00	0.00	00:00	2
01:00	7.2	93	6.1	1024	0.0	W	0.00	0.00	00:00	2
01:30	7.2	95	6.4	1024	0.0	W	0.00	0.00	00:00	2
02:00	7.2	96	6.6	1024	0.0	W	0.00	0.00	00:00	2
02:30	6.8	96	6.2	1024	0.0	W	0.00	0.00	00:00	0
03:00	6.4	96	5.8	1023	0.0	W	0.00	0.00	00:00	2
03:30	6.0	97	5.6	1024	0.0	W	0.00	0.00	00:00	2
04:00	6.4	97	6.0	1024	0.0	W	0.00	0.00	00:00	2
04:30	5.6	98	5.3	1023	0.0	W	0.00	0.00	00:00	2
05:00	5.2	98	4.9	1024	0.0	W	0.00	0.00	00:00	0
05:30	4.8	99	4.6	1024	0.0	W	0.00	0.00	00:00	2
06:00	4.8	99	4.6	1023	0.0	W	0.00	0.00	00:00	0
06:30	4.4	99	4.3	1023	0.0	W	0.00	0.00	00:00	0
07:00	4.8	99	4.6	1023	0.0	W	0.00	0.00	00:00	2
07:30	4.8	99	4.6	1024	0.0	W	0.00	0.00	00:00	0
08:00	4.8	100	4.8	1024	0.0	W	0.10	0.00	00:00	0
08:30	5.6	98	5.3	1024	0.0	W	0.66	0.00	00:00	0
09:00	7.2	89	5.5	1024	0.0	W	1.10	0.05	00:00	0
09:30	9.2	87	7.1	1024	0.0	W	1.62	0.05	00:00	0
10:00	11.4	81	8.2	1024	0.0	W	2.13	0.05	00:00	2
10:30	13.6	73	8.8	1024	0.0	W	2.61	0.05	00:00	0
11:00	15.9	64	9.1	1024	0.0	W	3.16	0.05	00:00	2
11:30	16.4	59	8.4	1024	0.1	W	3.66	0.05	00:00	2
12:00	17.3	54	7.9	1024	0.1	W	4.14	0.05	00:00	2
12:30	17.7	51	7.4	1024	0.4	W	4.64	0.05	00:00	4
13:00	18.2	50	7.6	1024	0.4	W	5.07	0.05	00:00	4
13:30	16.8	53	7.2	1023	1.2	W	5.54	0.05	00:00	4
14:00	16.8	57	8.2	1023	0.5	NE	5.67	0.05	00:00	4
14:30	17.3	54	7.9	1023	0.4	NE	6.18	0.05	00:00	4
15:00	15.9	61	8.4	1023	1.5	NE	6.29	0.05	00:00	6
15:30	15.9	61	8.4	1023	0.7	NE	6.29	0.05	00:00	4
16:00	15.5	63	8.5	1023	0.0	NE	6.29	0.05	00:00	2
16:30	15.0	65	8.5	1023	0.0	NE	6.29	0.05	00:00	0
17:00	15.9	61	8.4	1023	0.0	NE	6.40	0.05	00:00	0
17:30	15.5	60	7.8	1022	0.0	NE	6.40	0.05	00:00	2
18:00	14.5	66	8.2	1022	0.4	NE	6.40	0.05	00:00	2
18:30	14.1	69	8.5	1023	0.4	NE	6.40	0.05	00:00	2
19:00	13.6	71	8.4	1023	0.2	NE	6.40	0.05	00:00	2
19:30	12.3	75	8.0	1023	0.1	NE	6.40	0.05	00:00	2
20:00	11.8	79	8.3	1023	0.0	NE	6.40	0.05	00:00	2
20:30	11.4	78	7.7	1023	0.5	NE	6.40	0.05	00:00	2
21:00	10.9	79	7.4	1024	0.2	NE	6.40	0.05	00:00	2
21:30	10.5	82	7.5	1024	0.2	NE	6.40	0.05	00:00	2
22:00	10.0	84	7.4	1024	0.2	NE	6.40	0.05	00:00	2
22:30	8.4	90	6.7	1024	0.0	NE	6.40	0.05	00:00	2
23:00	8.4	91	6.8	1024	0.0	NE	6.40	0.05	00:00	2
23:30	7.6	93	6.5	1024	0.0	NE	6.40	0.05	00:00	2
