Time	Temp 	Humid	DewPt	Press	WindSp	WindDr	Sun  	Rain	Start	MxWSpd
00:00	6.8	94	5.9	1023	0.0	NE	0.00	0.00	00:00	2
00:30	6.8	97	6.3	1024	0.0	NE	0.00	0.00	00:00	2
01:00	6.8	97	6.3	1024	0.2	NE	0.00	0.00	00:00	2
01:30	6.4	98	6.1	1024	0.1	NE	0.00	0.00	00:00	2
02:00	6.4	99	6.2	1024	0.0	NE	0.00	0.00	00:00	2
02:30	6.0	99	5.8	1024	0.2	NE	0.00	0.00	00:00	2
03:00	5.6	99	5.4	1023	0.2	NE	0.00	0.00	00:00	2
03:30	4.8	100	4.8	1023	0.2	NE	0.00	0.00	00:00	2
04:00	4.4	100	4.4	1023	0.3	NE	0.00	0.00	00:00	2
04:30	4.4	100	4.4	1023	0.1	NE	0.00	0.00	00:00	2
05:00	4.0	100	4.0	1023	0.0	NE	0.00	0.00	00:00	2
05:30	4.0	100	4.0	1023	0.0	NE	0.00	0.00	00:00	2
06:00	4.0	100	4.0	1023	0.0	NE	0.00	0.00	00:00	2
06:30	3.6	100	3.6	1022	0.0	NE	0.00	0.00	00:00	2
07:00	4.0	100	4.0	1022	0.0	NE	0.00	0.00	00:00	2
07:30	4.4	100	4.4	1023	0.0	NE	0.00	0.00	00:00	2
08:00	4.4	100	4.4	1023	0.0	NE	0.00	0.00	00:00	2
08:30	5.6	100	5.6	1023	0.1	NE	0.33	0.00	00:00	2
09:00	6.8	100	6.8	1023	0.5	NW	0.87	0.00	00:00	4
09:30	8.0	100	8.0	1023	0.4	NW	1.38	0.00	00:00	2
10:00	8.8	94	7.9	1023	0.6	NW	1.59	0.00	00:00	2
10:30	9.2	88	7.3	1022	0.4	NE	1.59	0.00	00:00	2
11:00	11.4	87	9.3	1021	1.0	NW	1.59	0.00	00:00	6
11:30	12.7	83	9.9	1021	1.3	NE	1.59	0.00	00:00	6
12:00	14.1	80	10.7	1021	2.2	NE	1.59	0.01	00:00	8
12:30	14.1	79	10.5	1021	2.5	NE	1.59	0.01	00:00	10
13:00	15.5	75	11.1	1021	2.0	NE	1.59	0.01	00:00	6
13:30	15.9	73	11.1	1020	1.8	NE	1.59	0.01	00:00	6
14:00	15.9	73	11.1	1020	2.8	NE	1.59	0.01	00:00	8
14:30	15.5	76	11.3	1020	3.1	NE	1.59	0.01	00:00	10
15:00	15.5	78	11.7	1020	3.6	NE	1.59	0.01	00:00	10
15:30	15.5	79	11.9	1020	3.0	NE	1.59	0.01	00:00	8
16:00	15.0	80	11.6	1020	2.2	NE	1.59	0.01	00:00	8
16:30	15.0	80	11.6	1020	2.6	NE	1.59	0.01	00:00	10
17:00	14.5	84	11.8	1020	2.0	NE	1.59	0.02	00:00	8
17:30	14.5	85	12.0	1020	0.9	NE	1.59	0.02	00:00	4
18:00	14.1	87	12.0	1020	0.5	NE	1.59	0.02	00:00	4
18:30	13.6	87	11.5	1020	0.3	NE	1.59	0.02	00:00	2
19:00	13.2	87	11.1	1020	0.2	NE	1.59	0.02	00:00	2
19:30	13.2	84	10.5	1020	1.1	NE	1.59	0.02	00:00	6
20:00	12.3	86	10.0	1020	1.2	NE	1.59	0.02	00:00	6
20:30	11.8	91	10.4	1020	0.5	NE	1.59	0.02	00:00	4
21:00	11.4	92	10.1	1020	0.1	NE	1.59	0.02	00:00	2
21:30	10.9	95	10.1	1020	0.2	NE	1.59	0.02	00:00	2
22:00	10.5	96	9.9	1020	0.1	NE	1.59	0.02	00:00	2
22:30	10.5	97	10.0	1020	0.1	NE	1.59	0.02	00:00	2
23:00	10.0	98	9.7	1019	0.3	NE	1.59	0.02	00:00	2
23:30	9.6	97	9.1	1019	0.7	N	1.59	0.02	00:00	4
23:59	9.2	98	8.9	1019	0.7	N	1.59	0.02	00:00	4
